name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJpXSgrsDbfkcRzf_5kCMmrZI,ChIJpXSgrsDbfkcRzf_5kCMmrZI,"['italian_restaurant', 'steak_house', 'pizza_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Romana Aponense, 137, 35142 Padova PD, Italy",4,,
places/ChIJldHNscHbfkcRaGVL81ecAlI,ChIJldHNscHbfkcRaGVL81ecAlI,"['bar', 'food', 'point_of_interest', 'establishment']","Via Sorio, 14, 35141 Padova PD, Italy",4.6,,
places/ChIJAUJTpNHafkcRAsAh6Mm3n28,ChIJAUJTpNHafkcRAsAh6Mm3n28,"['pizza_restaurant', 'event_venue', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Venezuela, 11, 35127 Padova PD, Italy",3.9,,
places/ChIJJ2V2p07bfkcRUn-PDbI80hI,ChIJJ2V2p07bfkcRUn-PDbI80hI,"['bar', 'point_of_interest', 'establishment']","Piazzale Pontecorvo, 35121 Padova PD, Italy",4.5,,
places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,"['restaurant', 'banquet_hall', 'pizza_restaurant', 'italian_restaurant', 'meal_takeaway', 'seafood_restaurant', 'event_venue', 'food', 'point_of_interest', 'establishment']","Via Isacco Newton, 7, 35143 Padova PD, Italy",4.3,,
places/ChIJEeD7SKvbfkcRqo0NAH0k_u8,ChIJEeD7SKvbfkcRqo0NAH0k_u8,"['italian_restaurant', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Prato della Valle, 51, 35123 Padova PD, Italy",4.2,,
places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Pontarola, 9, 35011 Campodarsego PD, Italy",4.6,,
places/ChIJC628jEXafkcRb38-THnIM0E,ChIJC628jEXafkcRb38-THnIM0E,"['mexican_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Livello, 11, 35139 Padova PD, Italy",4.5,,
places/ChIJ0W8f10_afkcRYXJye9E4xdI,ChIJ0W8f10_afkcRYXJye9E4xdI,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Soncin, 13, 35121 Padova PD, Italy",4.4,,
places/ChIJpTWHmbzbfkcRdRu-nZfYwIY,ChIJpTWHmbzbfkcRdRu-nZfYwIY,"['italian_restaurant', 'pizza_restaurant', 'seafood_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Adriatica, 3, 35125 Padova PD, Italy",4.2,,
