place_id,name,text.text,rating,publishTime,relativePublishTimeDescription
ChIJpXSgrsDbfkcRzf_5kCMmrZI,places/ChIJpXSgrsDbfkcRzf_5kCMmrZI/reviews/ChdDSUhNMG9nS0VJQ0FnSUNUdnYyMnBBRRAB,"Huge ""eating palace"" which is lacking the fine accents of the italian food although the service was top. I would recommend for lunch, less for dinner",4,2024-05-15T09:37:18Z,in the last week
ChIJpXSgrsDbfkcRzf_5kCMmrZI,places/ChIJpXSgrsDbfkcRzf_5kCMmrZI/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2dzlpOVZREAE,"Unexpectedly 5 stars ⭐
We received a warm welcome in a highly restyled location where the quality of the food was outperformed only by the wonderful service of the employees.
Special thanks to Alessandra that served is with great personality. 👍🏻",5,2021-09-11T09:37:43Z,2 years ago
ChIJpXSgrsDbfkcRzf_5kCMmrZI,places/ChIJpXSgrsDbfkcRzf_5kCMmrZI/reviews/ChZDSUhNMG9nS0VJQ0FnSUNsbHAta013EAE,"I had to wait for a long time like +40 min for the hamburger and asked for mayonnaise that never served, the cheese cake seems to be something g like a fume with nutella on it nothing like Ches cake you might know. Never again",1,2023-11-17T20:42:53Z,6 months ago
ChIJpXSgrsDbfkcRzf_5kCMmrZI,places/ChIJpXSgrsDbfkcRzf_5kCMmrZI/reviews/ChdDSUhNMG9nS0VJQ0FnSUNNc2RqLTJRRRAB,The food is good... soon i will come back again to take a photo. This time i don't  have a photo because im shy to take a shot😥😥😥 only i have this photo. While waiting  the order.. to prove ive been here this restaurant,5,2019-11-24T00:50:08Z,4 years ago
ChIJpXSgrsDbfkcRzf_5kCMmrZI,places/ChIJpXSgrsDbfkcRzf_5kCMmrZI/reviews/ChZDSUhNMG9nS0VJQ0FnSUNCanFxZkJREAE,"Every time I come back here, I always eat something different from the last time.
And it never disappointed me, pizza, meat, fish ecc was always delicious. Big compliments for the chefs, waiters and to the director, who was really kind and available for our needs.
Truly recommend this place.",5,2022-12-25T13:47:45Z,a year ago
ChIJldHNscHbfkcRaGVL81ecAlI,places/ChIJldHNscHbfkcRaGVL81ecAlI/reviews/ChdDSUhNMG9nS0VJQ0FnSUR0bjlDQndRRRAB,"Amazing place, great choice of wines and food",5,2024-02-08T21:02:50Z,3 months ago
ChIJldHNscHbfkcRaGVL81ecAlI,places/ChIJldHNscHbfkcRaGVL81ecAlI/reviews/ChZDSUhNMG9nS0VJQ0FnSURXZ3UzSlNnEAE,Lots of outdoor seating ( cushions would be nice). Good drinks and ciccete. Reasonable prices.,5,2022-03-18T19:28:45Z,2 years ago
ChIJldHNscHbfkcRaGVL81ecAlI,places/ChIJldHNscHbfkcRaGVL81ecAlI/reviews/ChZDSUhNMG9nS0VJQ0FnSURlMjRLSEZ3EAE,"Very popular local which is not bad for a spritz, etc.",4,2022-10-20T09:23:19Z,a year ago
ChIJldHNscHbfkcRaGVL81ecAlI,places/ChIJldHNscHbfkcRaGVL81ecAlI/reviews/ChZDSUhNMG9nS0VJQ0FnSURCOXIyR2RBEAE,Top,5,2023-01-19T09:34:11Z,a year ago
ChIJldHNscHbfkcRaGVL81ecAlI,places/ChIJldHNscHbfkcRaGVL81ecAlI/reviews/ChZDSUhNMG9nS0VJQ0FnSUQteHZfZk9REAE,I love It!,5,2022-11-28T13:42:13Z,a year ago
ChIJAUJTpNHafkcRAsAh6Mm3n28,places/ChIJAUJTpNHafkcRAsAh6Mm3n28/reviews/ChZDSUhNMG9nS0VJQ0FnSUR4NTUtQk53EAE,"Racist and arrogant, are the two words I will use to describe this disco and his owner. They didn't allow us to enter because of being Spanish and in their oppinion we make scandal, what kind of scandal can do 2 boys and 4 girls? We weren't the only people that were rejected, a group of thirty people with reservation too. They sould feel embarrassed.",1,2023-06-16T13:52:42Z,11 months ago
ChIJAUJTpNHafkcRAsAh6Mm3n28,places/ChIJAUJTpNHafkcRAsAh6Mm3n28/reviews/ChdDSUhNMG9nS0VJQ0FnSUNlOGEyTGt3RRAB,"We were 12 people who spent 60 euro on taxi just to get there and be told that they were not letting people in because it was raining. A private party was arranged inside, and only Italians were allowed to attend it (as we understood, even though they did know have an invitation or knowledge to the host). Some of the security were also quite rude to us. I do not see the problem of one person standing under the roof while calling for 3 new taxies so that we can leave:-)",1,2022-09-17T01:48:17Z,a year ago
ChIJAUJTpNHafkcRAsAh6Mm3n28,places/ChIJAUJTpNHafkcRAsAh6Mm3n28/reviews/ChZDSUhNMG9nS0VJQ0FnSUNPNThfS1V3EAE,"after this place i wanna throw up so much
- security acting like stupid
- man in pink, hate him so much, he followed us all party
- food so expensive and gross 🤢
- music bad
- party start at 00:00, instead of 20:30
- when we came some old people dance tango, I
is it a dance club, or a club for people over 50?
+ good atmosphere, but the cons and the guy in pink spoil everything

and finally, the staff behaves badly, it's terrible
terrible club, I advise you to go only if you want to ruin your evening 🤮",1,2022-06-21T22:06:25Z,a year ago
ChIJAUJTpNHafkcRAsAh6Mm3n28,places/ChIJAUJTpNHafkcRAsAh6Mm3n28/reviews/ChdDSUhNMG9nS0VJQ0FnSUN3akxxdnhRRRAB,"Busy place, nice salsa session and nice girl bar tender. More alcohol in the drinks please",5,2018-09-02T05:02:07Z,5 years ago
ChIJAUJTpNHafkcRAsAh6Mm3n28,places/ChIJAUJTpNHafkcRAsAh6Mm3n28/reviews/ChZDSUhNMG9nS0VJQ0FnSUNlOGN6MldnEAE,"It sucked. The crew sucked, everyone was mean, would not recommand.",1,2022-09-16T22:15:49Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,places/ChIJJ2V2p07bfkcRUn-PDbI80hI/reviews/ChdDSUhNMG9nS0VJQ0FnSURlckpqNV9nRRAB,"The best: cicchetti made in the moment. They have almost 10 different types of cicchetti, also polpette and mini panini. The tables outside are nice to chill. Perfect for groups. They have one unisex bathroom. The worst: paying before ordering so normally you make a line of 3 to 5 minutes. Also, the drinks don't come with absolutely nothing to eat, not even patatine.",4,2022-10-04T08:05:01Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,places/ChIJJ2V2p07bfkcRUn-PDbI80hI/reviews/ChdDSUhNMG9nS0VJQ0FnSUNoNHZTRC1RRRAB,A local shop (emme di mamma) suggested we stop at Dai Ragazzi - we couldn’t be happier with their suggestion. Dai Ragazzi is a gem with delicious cicchetti - the mozzarella in carrozza was so good we ordered two. Nice choices of wine too. The staff are lovely. We’ll be back sooner than later🍷,5,2023-02-08T21:24:26Z,a year ago
