place_id,place_name,place_types,place_address,place_average_ratings,place_ratings_count,place_reviews_count,place_location,place_website,place_phone_number,place_price_level,place_primary_type,has_delivery,has_dine_in,is_reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,places_opening_hours
ChIJORN_mdnbfkcRq7g9fQtODbE,Rasa multi cuisine restaurant,"['indian_restaurant', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via T. Aspetti, 51, 35132 Padova PD, Italy",4.9,234,,,,+39 347 360 4372,,indian_restaurant,True,True,True,,True,True,True,True,"['Monday: Closed', 'Tuesday: 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM']"
ChIJldHNscHbfkcRaGVL81ecAlI,Enoteca La Botte Piccola,"['bar', 'food', 'point_of_interest', 'establishment']","Via Sorio, 14, 35141 Padova PD, Italy",4.6,293,,,https://m.facebook.com/pages/category/Bar/Enoteca-la-botte-piccola-332212890859585/?locale2=it_IT,+39 347 837 6458,PRICE_LEVEL_MODERATE,bar,False,True,True,,,,True,True,"['Monday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 5:30\u2009–\u200910:00\u202fPM']"
ChIJJ2V2p07bfkcRUn-PDbI80hI,Dai Ragazzi - Cicchetti e ombre,"['bar', 'point_of_interest', 'establishment']","Piazzale Pontecorvo, 35121 Padova PD, Italy",4.5,335,,,,+39 393 111 2069,,bar,False,True,,,,,True,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM']"
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,Bar Mensa L' Olmo,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Corso Stati Uniti, 23I, 35127 Padova PD, Italy",3.8,136,,,,+39 049 760862,PRICE_LEVEL_INEXPENSIVE,restaurant,False,True,,True,True,,True,True,"['Monday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ChIJAcFLIYnafkcRjQhdZvIlX48,Gianni Calaon Rivoluzione Pizza,"['pizza_restaurant', 'wholesaler', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Federico Chopin, 6, 35132 Padova PD, Italy",4.1,367,,,http://giannicalaon.com/,+39 049 742 3333,PRICE_LEVEL_MODERATE,pizza_restaurant,,True,True,False,False,True,True,True,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u2009–\u200911:00\u202fPM']"
ChIJgxBB_LrbfkcR4vPJOeFgUw8,L'Officina al Bersagliere,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Donatello, 6, 35123 Padova PD, Italy",4.2,920,,,http://www.officinaristorante.it/,+39 049 690145,PRICE_LEVEL_MODERATE,restaurant,False,True,True,False,True,True,True,True,"['Monday: 12:00\u2009–\u20092:00\u202fPM, 7:30\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u20092:00\u202fPM, 7:30\u2009–\u200910:00\u202fPM', 'Wednesday: Closed', 'Thursday: 12:00\u2009–\u20092:00\u202fPM, 7:30\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u20092:00\u202fPM, 7:30\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u20092:00\u202fPM, 7:30\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20092:00\u202fPM']"
ChIJ-fLiwWrFfkcR446Y2U5Dr4A,Shang Chang,"['restaurant', 'food', 'point_of_interest', 'establishment']","Corso Stati Uniti, 1/22, 35127 Padova PD, Italy",3.8,72,,,,+39 333 169 7368,,restaurant,,True,True,,True,True,True,True,"['Monday: 10:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 10:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 10:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 10:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 10:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 10:00\u202fAM\u2009–\u200912:00\u202fAM']"
ChIJ5z92x7DbfkcRkQO5jLe7XA4,Radio City Music Hall Italy,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Palestro, 62, 35138 Padova PD, Italy",4,397,,,http://www.facebook.com/RadioCityItaly/,+39 049 522 1232,PRICE_LEVEL_MODERATE,restaurant,False,True,True,False,,True,True,True,"['Monday: Closed', 'Tuesday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u20092:00\u202fAM']"
ChIJH5aei1XafkcRLNB9MpVEF_g,Ristorante Pizzeria Pontecorvo,"['pizza_restaurant', 'seafood_restaurant', 'italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazzale Pontecorvo, 5c, 35121 Padova PD, Italy",4.1,788,,,https://www.ristorantepontecorvo.com/,+39 049 876 3819,PRICE_LEVEL_MODERATE,pizza_restaurant,False,True,True,False,True,True,True,True,"['Monday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20092:30\u202fPM']"
ChIJfxPgA-fafkcRaFk7SCN2LeQ,Osteria Enoteca L'Indeciso,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Gattamelata, 21, 35128 Padova PD, Italy",4.5,475,,,https://indecisopadova.it/,+39 345 343 6293,PRICE_LEVEL_MODERATE,restaurant,,True,True,False,True,True,True,True,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Saturday: 7:00\u2009–\u200911:30\u202fPM', 'Sunday: Closed']"
