place_id,review,review_rating,review_publish_time,review_publish_time_str
ChIJORN_mdnbfkcRq7g9fQtODbE,"Really gentle and humble people. On top, food’s quality is great. They are not just serving a regular Indian menu, they have items from different parts of India which makes them a unique place to try.",5,2024-03-17T14:46:18Z,2 months ago
ChIJORN_mdnbfkcRq7g9fQtODbE,"We booked a table for 10 people. We all enjoyed the meal, and found the Indian dishes to be delicious and authentic. Everything is made fresh when it's ordered, so it takes longer to arrive - something to be aware of, if you're in a rush. The staff were friendly and helpful, and they spoke English and Italian. I would definitely dine here again",5,2023-12-27T15:53:17Z,5 months ago
ChIJORN_mdnbfkcRq7g9fQtODbE,"Wonderful dinner with delicious dishes. Haven't had this good Indian food for a long time! The owner and the staff are super nice and super attentive, giving lots of information about the dishes and even cooking special dishes for their guests. Discounts for students too. Very reasonably priced. Definitely try this lovely restaurant.",5,2023-12-08T07:51:58Z,5 months ago
ChIJORN_mdnbfkcRq7g9fQtODbE,"Amazing restaurant.
The food is nice & the hospitality is really good
We came as a tour group and the owners took care of everyone verywell.",5,2024-05-27T16:14:21Z,in the last week
ChIJORN_mdnbfkcRq7g9fQtODbE,"Went here two weeks ago: we tried the suggested fixed menu and it was well curated and very tasty.
The staff were attentive and friendly.
I suggest to try the rose cocktail - it was excellent.",5,2024-02-29T18:51:06Z,3 months ago
ChIJldHNscHbfkcRaGVL81ecAlI,"Nice cosy place. Aperitivo time Is very chill.
Good food",5,2024-05-21T15:35:32Z,a week ago
ChIJldHNscHbfkcRaGVL81ecAlI,"Amazing place, great choice of wines and food",5,2024-02-08T21:02:50Z,3 months ago
ChIJldHNscHbfkcRaGVL81ecAlI,Lots of outdoor seating ( cushions would be nice). Good drinks and ciccete. Reasonable prices.,5,2022-03-18T19:28:45Z,2 years ago
ChIJldHNscHbfkcRaGVL81ecAlI,"Very popular local which is not bad for a spritz, etc.",4,2022-10-20T09:23:19Z,a year ago
ChIJldHNscHbfkcRaGVL81ecAlI,Top,5,2023-01-19T09:34:11Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,"The best: cicchetti made in the moment. They have almost 10 different types of cicchetti, also polpette and mini panini. The tables outside are nice to chill. Perfect for groups. They have one unisex bathroom. The worst: paying before ordering so normally you make a line of 3 to 5 minutes. Also, the drinks don't come with absolutely nothing to eat, not even patatine.",4,2022-10-04T08:05:01Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,A local shop (emme di mamma) suggested we stop at Dai Ragazzi - we couldn’t be happier with their suggestion. Dai Ragazzi is a gem with delicious cicchetti - the mozzarella in carrozza was so good we ordered two. Nice choices of wine too. The staff are lovely. We’ll be back sooner than later🍷,5,2023-02-08T21:24:26Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,"I was sick, it was Sunday afternoon and ALL the bars in the area were closed. I really needed the toilet.
I approached the owner to beg to use it, and the only thing he cared was to keep the place clean, because the toilet was supposed to be for the customers.
The toilet had no paper, it was not clean and rushed me to leave.
I had to buy a coke of course, at least I was a customer too.
Poor to none humanity",1,2023-10-19T10:31:19Z,7 months ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,"Interesting bites in a interesting place. I had baccalà (the two ways, mantecato and alla vicentina) whilst my wife had 6 arrosticini. A glass of white each. All of that for 27€. I would have liked more food and 1,5l water bottles; besides that food was very good. Service had some troubles, but nothing that bad.",4,2023-04-30T12:24:36Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,"One of the best places we've been to in Padova!! A special recommendation is the vegetarian sandwich with pumpkin and tomatoes. The wine selection is outstanding ;) Andy was really kind and explained us everything in detail. Unfortunately we couldnt do a picture of the wine card... If someone could add it to the google reviews, we would be really happy! :-)",5,2021-07-20T18:51:36Z,2 years ago
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,"Workers' canteen, as I see it, a bit expensive, single course with small salad and coffee €14.30 considering that I usually spend €15 in a restaurant (serviced) and eat much better, it's not worth it.
Very low quality/price",2,2024-03-05T12:07:46Z,2 months ago
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,"Good morning... at Ristoself Olmo the main course is a first course, second course and side dish for 9.20 euros, it doesn't seem like a lot of money to me.. you have to specify what you eat because a single course can be misinterpreted.. I recommend very good and personal dishes to everyone. Always smiling",4,2024-05-08T09:35:22Z,3 weeks ago
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,"The staff was not at all helpful, rude, in fact almost annoyed by my presence, very racist as an environment, I would not recommend it to an ethnic audience. Nothing to say about the basic food but nothing special, I do it better at home. Honestly, I would prefer if they started to improve their ways of doing things and treating customers and staff, even among themselves.",1,2024-02-19T12:19:39Z,3 months ago
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,"Excellent BarMensa. The prices are great and the quality is good for the price you pay. Also considering the agreement they have with my company, you can't find anything nearby at this price",4,2022-12-07T12:36:36Z,a year ago
ChIJR0Gsj2zFfkcR0qqbTzWHBy0,"Drinking a coffee in the morning prepared by Magda is a pleasure. Kind and friendly, she always welcomes us with a smile. thanks Magda",4,2024-04-24T08:19:13Z,a month ago
ChIJAcFLIYnafkcRjQhdZvIlX48,"The service was so slow because there were only 2 people in front. They gave a little snack while we are waiting for our pizza, which was a plus point. The environment was kinda noisy, but understandable because it was Friday night and families are out. Closing my review with a good thing from this place... I LOOOOVE THEIR PIZZA. Definitely will come back!",5,2024-02-25T21:40:23Z,3 months ago
ChIJAcFLIYnafkcRjQhdZvIlX48,"Pizza was really good. Service OK. A little bit ""too confident"". Humbleness doesn't live here. But the pizza was amazing, and that's good.",4,2018-06-25T08:17:17Z,5 years ago
ChIJAcFLIYnafkcRjQhdZvIlX48,"Great value for money, really good pizza, the place is okay... Perfect for every occasion",5,2022-09-30T21:41:14Z,a year ago
ChIJAcFLIYnafkcRjQhdZvIlX48,quality ingredients but nothing special,3,2023-08-05T20:35:01Z,10 months ago
ChIJAcFLIYnafkcRjQhdZvIlX48,Extraordinary pizza ! Must try,5,2019-10-23T19:05:52Z,4 years ago
ChIJgxBB_LrbfkcR4vPJOeFgUw8,"Service 10/10 the waiter name is Antoine. Great service and great manners.
Food 9/10 The beef tartare (battuta cruda di manzo) was fabulous. They helped to divide the portion for me and my husband. The spaghettoni with sea urchin were great too. The Tuna had a nice spice twist to it. The dessert( pazientina padovana) was very nice however, based on my personal opinion, a little too much alcohol for it. Please do note that I don't drink that much and zabaione cream need to have alcohol inside but, for my personal taste as a closings plate, there was a little too much of it. But I repeat, is just my opinion coming from an Asian prospective. My Italian husband loved it.
Atmosphere 10/10 Great music and the happy atmosphere between the service made it awesome!

Please please please if you have the opportunity do visit this restaurant(opened in 1934). It is really worth a visit ❤️😊.",5,2022-10-18T07:48:39Z,a year ago
ChIJgxBB_LrbfkcR4vPJOeFgUw8,"Coming herein accidentally. Really great.
Octopus , sarde saour, ... realky nicht and professionell Service.
My wife told me not to tell anybody, otherwise we will no table witout reservation..",5,2023-09-01T20:26:17Z,9 months ago
ChIJgxBB_LrbfkcR4vPJOeFgUw8,"I booked a table for 13:30 , I was there punctual and they did not care about us ( with a small child ) . I got my table at 14:20 ( after 50 min delay ) . It was unacceptable that even they did not apologised about this uncomfortable situation. Waiting people for 50 minutes till 14:20 as you know they don’t have any chance to go to
Other place as it is late !!!!! Unprofessional.
In addition they bright us a sweet extra by mistake and put on my bill.
I payed 440 euro and they did not say even e thanks or sorry for this situation .
I think the story is like this : they accept late booking around 13:30 and they keep people waiting till 14/14:30 like this they are sure the get 2 round people .
I don’t talk about food . It was fine but there behave was unacceptable.

Avoiding this ola e they don’t deserve and remember  the sea  is full of fish .",1,2023-04-30T21:17:36Z,a year ago
ChIJgxBB_LrbfkcR4vPJOeFgUw8,"Excellent dinner from A to Z! Home made and tradition, though with a blend of stylish haute cuisine in a very pleasant environment!

Strongly recommended the baccala mantecato, sarde in saor and porcini with prawns! 1st quality ingredients

Prices are reasonable considering the quality",5,2022-09-30T05:15:17Z,a year ago
ChIJgxBB_LrbfkcR4vPJOeFgUw8,"I ate "" Bigoli di anitra"": one of the best pasta I have ever eaten!",5,2018-08-12T09:59:28Z,5 years ago
ChIJ-fLiwWrFfkcR446Y2U5Dr4A,"I'm a Chinese and I dont think the food is up to par. Dishes came out to be very far from the menu presentation. Fish ball soup tastes sourish probably from the vinegar used, pork ribs are tasteless (frozen meat?) and the prawns weren't fresh at all",2,2023-09-26T08:49:00Z,8 months ago
